code,description
0XC000006D,This is either due to a bad username or authentication information
0XC000006D,This is either due to a bad username or authentication information
0XC000006E,Unknown user name or bad password.
0XC000006E,Unknown user name or bad password.
0XC0000193,account expiration
0XC000006E,Unknown user name or bad password.
0XC000006D,This is either due to a bad username or authentication information
0XC000006D,This is either due to a bad username or authentication information
0XC000018C,The logon request failed because the trust relationship between the primary domain and the trusted domain failed.
0XC000005E,There are currently no logon servers available to service the logon request.
0XC00000DC,Indicates the Sam Server was in the wrong state to perform the desired operation.
0XC0000224,user is required to change password at next logon
0XC0000192,"An attempt was made to logon, but the netlogon service was not started."
0XC0000413,Logon Failure: The machine you are logging onto is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine.
